id,Longitude,Latitude,vs30,vs30measured,rotD50_logPGA,geoM_logPGA,rotD50_logSAT0_200,geoM_logSAT0_200,rotD50_logSAT0_300,geoM_logSAT0_300,rotD50_logSAT0_600,geoM_logSAT0_600
31,12.748537,42.248547,739.63,False,-4.924977433042558,-4.83672077297069,-3.9054963674562417,-3.917348895973581,-3.933055606435874,-3.921194774519616,-4.104876602577737,-4.142614273486453
32,15.95803,41.70354,760.0,False,-6.094660649577111,-6.120345512882879,-5.523120301212544,-5.531852100702482,-5.07932995428943,-5.0889155669924255,-5.366618458508296,-5.290783419484758
33,15.91132,41.634186,815.0,True,-6.057607397144668,-6.30514304140514,-5.707260398267738,-5.659740133044312,-5.023632752032501,-5.151885869222592,-5.239416267592831,-5.351609505210994
34,13.244796,42.524021,689.0,False,-2.950874073622612,-2.951021911711705,-1.9183121264172405,-1.8888374935004129,-2.025858287715174,-2.123222792412684,-2.620472944114322,-2.626261270117083
35,14.179607,40.799255,378.0,False,-5.9327288552317885,-5.963398808207186,-5.855513762872176,-5.810189103951806,-5.634991946377642,-5.602611974789234,-5.168917740592682,-5.180689389032058
36,13.642346,41.953606,767.0,False,-2.967318770891079,-2.9593705252912934,-1.989901105203527,-2.0633288887636163,-1.9362942443504256,-1.909895657433372,-2.152617091799946,-2.307442965797152
37,14.385376,41.355354,655.0,False,-6.518932576884885,-6.502675947165462,-6.097003925088711,-6.174254681011708,-6.05963257549747,-6.048980166668382,-5.768254168360923,-5.692146107304168
38,11.684975,42.850376,522.55,False,-6.715209157931424,-6.843044437959401,-6.4018469821996185,-6.445752703804053,-6.249192266468956,-6.2474630701500855,-5.926450512516738,-5.907678274374804
39,14.7024,41.6963,579.98,False,-4.941441424065959,-4.98335005115506,-4.444292272146938,-4.489960160695339,-3.902467137769666,-3.98043293015124,-4.153589863733414,-4.181855911777757
40,14.83767,41.482738,614.52,False,-6.018327024377846,-5.998154160461963,-5.869784379114276,-5.811973698612541,-5.591896991021868,-5.544669716935766,-5.270846697315588,-5.259668349722682
41,13.105518,41.913158,1298.0,True,-4.993693059857505,-5.05788285940618,-4.132673741369612,-4.100047533747174,-4.126595003235254,-4.137788887497131,-4.322981475189955,-4.338962115452751
