id,PRO_COM,Longitude,Latitude,vs30,BuildingClass,DamageState
31,66087,13.555416400241098,42.284091848788535,426.1725,A-L,2
32,66073,13.533437000000005,42.32097698845451,446.63547,B-L,0
33,66031,13.72873,42.13169998828842,440.77344,B-MH,1
34,66087,13.553791444208512,42.28918005638791,441.81458,C1-L,0
35,66087,13.5593304,42.29211948842924,422.20352,A-L,0
36,66087,13.553796752585598,42.289270276214666,441.81458,A-MH,4
37,66031,13.73095460405267,42.128791497911486,439.96844,A-L,4
38,66031,13.729572000000005,42.13029298828711,439.7495,B-MH,0
39,67034,13.553981000000006,42.52331928863048,471.20813,A-L,2
40,66097,13.685221563459486,42.1547111373245,569.067,A-L,0
41,66009,13.5365574,42.330685388463,453.69833,C1-L,0
42,66087,13.556667,42.28845698842606,438.67175,A-MH,4
43,66031,13.729545000000003,42.13027198828715,439.7495,A-MH,0
44,66031,13.73069322924758,42.13042888188478,440.22104,A-MH,1
45,66087,13.556526200000006,42.288378188426016,446.9307,A-MH,3
46,66087,13.553906874344309,42.28908558026237,439.54297,A-L,4
47,66040,13.778840301713814,42.22131783118577,503.05444,A-MH,4
48,66031,13.731231300000006,42.126931088284216,437.44214,A-L,1
49,66009,13.529920400000004,42.3327412884648,450.4146,C1-MH,2
50,66065,13.515439268901533,42.12064048281688,593.66254,A-L,0
51,66087,13.556528899999996,42.28837918842599,446.9307,A-MH,4
52,66031,13.729485000000007,42.13022698828708,439.7495,A-MH,0
53,66087,13.554426993385396,42.28970009207419,475.29922,A-L,0
54,67034,13.555561999999997,42.52344988863061,464.5763,A-L,3
55,66097,13.680463190586426,42.1519013372791,532.8034,A-L,3
56,66031,13.731325277135491,42.12696920099414,437.44214,C1-MH,0
57,66097,13.683282625063116,42.14465469800635,499.4946,A-MH,4
58,66087,13.5564988,42.28836908842595,446.9307,A-MH,4
59,66097,13.679264119635508,42.1480569880061,479.92764,A-L,4
60,66097,13.680205845374518,42.15163948072019,532.8034,A-MH,3
61,66043,13.605302251667563,42.22984928669535,511.65613,A-L,1
62,66091,13.647333504172902,42.37547108798971,591.8999,B-L,4
63,66097,13.68467923389734,42.15174702986989,499.43112,A-L,4
64,66097,13.68045221893218,42.14973157916738,547.4391,A-L,5
65,66040,13.780730296697362,42.22061394238859,520.127,B-MH,4
66,66087,13.5567601,42.288483188426085,438.67175,B-L,4
67,66097,13.679548796035853,42.15274858912684,500.6453,A-L,3
68,66097,13.683381150943086,42.144289395075866,494.0078,A-L,4
69,66024,13.68351868307953,42.29944125967875,524.5995,A-L,3
70,67034,13.551809999999996,42.52357199431536,477.56055,A-MH,5
71,66087,13.55402761282064,42.28908132382688,439.54297,A-MH,2
72,66097,13.68339211002221,42.144469841745526,490.0779,A-MH,4
73,66087,13.554454700000008,42.28957429421352,455.94196,A-L,0
74,66091,13.643905500000004,42.34429958847488,551.16925,B-L,1
75,66087,13.555416400241096,42.28409185457744,426.1725,A-MH,4
76,66087,13.560178199999992,42.284968288423016,421.2103,A-L,4
77,66087,13.556533600000009,42.28839538842602,446.9307,A-L,0
78,66087,13.55443230278906,42.28979031760405,475.29922,A-L,1
79,66105,13.538149999999998,42.27175198841149,425.0681,C1-MH,0
80,66100,13.673525,42.17984198833079,453.34988,A-MH,0
81,66097,13.68178823482811,42.151852859685725,556.01154,A-L,5
82,66087,13.555814600000003,42.28908978842664,449.95526,A-MH,4
83,66087,13.569360699999995,42.29258818842968,410.67407,A-MH,1
84,66087,13.5694819,42.29258968842971,410.67407,A-MH,1
85,66097,13.681399470707952,42.151414968262046,548.0641,A-L,3
86,66087,13.554153660176448,42.28916728705924,441.81458,B-MH,1
87,66087,13.5601776,42.28493678842305,421.2103,B-L,1
88,66043,13.607185199999996,42.22973918837464,526.31366,A-MH,2
89,66087,13.555911799999995,42.28822658842584,457.4467,A-MH,4
90,66087,13.56936505886858,42.29269819268284,410.67407,A-MH,4
91,66065,13.516020389652878,42.12025849425709,619.7765,A-MH,4
92,66065,13.51347594133032,42.12215578506574,586.7833,B-L,5
93,66022,13.668835168805485,42.25296198958776,454.13434,B-MH,0
94,66097,13.680977887843122,42.152425048181954,531.0775,B-L,0
95,66065,13.515936573583188,42.1208943563712,621.8121,A-L,5
96,66087,13.5599453,42.284615988422686,439.94473,A-MH,5
97,66024,13.680670129146284,42.30035899377864,506.54337,A-L,1
98,66009,13.590441200000004,42.32730799423004,446.21848,A-L,5
99,66040,13.779861379000549,42.22218373258266,515.39923,A-MH,4
100,66043,13.605422869306224,42.22984496941234,511.65613,A-L,5
101,66009,13.536177199999988,42.329225888461686,449.24142,A-MH,4
102,66097,13.678765856448178,42.14979325216687,554.816,A-L,5
103,66040,13.78100871737321,42.22313530561871,509.69168,A-L,4
104,66087,13.553786135852818,42.28908983655344,439.54297,A-L,3
105,66087,13.558049800000012,42.28647198842432,432.13394,B-L,0
106,66009,13.590510500000004,42.32729508846006,446.21848,B-L,0
107,66009,13.590545542044593,42.327385567980286,446.21848,B-L,0
108,66087,13.556505400000008,42.28837128842599,446.9307,A-L,3
109,66097,13.6847996919969,42.15174261849293,499.43112,A-L,1
110,66087,13.560092799999994,42.286239988424136,416.89093,A-L,3
111,66009,13.592530399999996,42.32326188845656,460.80286,B-MH,4
112,66087,13.561319769854148,42.28963765316789,382.8297,A-L,0
113,66009,13.592599247042592,42.32324418252667,460.80286,B-MH,4
114,66087,13.560282699999998,42.28560968842356,411.68076,A-MH,5
115,66009,13.59248381380694,42.32333870007916,460.80286,A-L,4
116,66087,13.569885368671018,42.29331262707831,410.67407,A-L,0
117,67034,13.553515000000004,42.522706888629926,470.3983,B-L,1
118,66027,13.741058854993971,42.11259123299371,441.7153,B-MH,0
119,66009,13.592604618507073,42.32333439706836,460.80286,A-MH,4
120,66087,13.555790886422145,42.288205482225415,457.4467,A-L,4
121,66072,13.30819682741992,42.43249165603305,456.1373,A-MH,1
122,66097,13.68363299751432,42.14446102209863,490.0779,A-L,4
123,66009,13.592593875599771,42.32315396797724,460.80286,A-L,4
124,66043,13.605548863607874,42.22993087335234,456.6353,A-MH,4
125,66087,13.553941999999992,42.28920879421336,441.81458,A-L,5
126,66049,13.296420409445824,42.39681229806043,512.5001,A-L,2
127,66027,13.742738499999996,42.11390449413635,440.60156,A-L,0
128,66087,13.556813000000004,42.288508988426166,438.67175,B-MH,4
129,66049,13.479375999999997,42.35139408848107,428.0345,A-L,0
130,66087,13.5569652,42.288281288425935,438.67175,B-L,2
131,66058,13.729966200000003,42.236735588380746,452.80066,A-MH,0
132,66087,13.554158969092478,42.2892575068639,441.81458,A-L,3
133,66060,13.758551999999993,42.32682298845961,548.71533,A-MH,3
134,67034,13.542388000000008,42.53475698864039,500.8504,A-L,2
135,66014,13.698514699999995,42.32601748845893,512.7188,A-MH,2
136,66087,13.557845899999997,42.28789738842559,435.52368,A-MH,5
137,66060,13.756997899999998,42.32500068845804,559.7782,A-L,3
138,66087,13.555911799999995,42.28822659421293,457.4467,A-MH,5
139,66097,13.679444787740298,42.14904503892201,538.3143,A-MH,4
140,66087,13.55380206098407,42.28936049603367,441.81458,A-L,1
141,66014,13.698464847918313,42.32610787055197,512.7188,A-MH,0
142,66060,13.759577999999998,42.32689298845968,591.4441,B-MH,1
143,66097,13.684985947092889,42.15282087787688,487.95547,A-MH,4
144,66040,13.781353587031186,42.22285109191315,477.71637,A-MH,3
145,66065,13.515208908988722,42.120829371750126,597.33563,A-MH,4
146,66097,13.679439285567426,42.15293344002023,509.49396,A-L,2
147,66087,13.55406477427474,42.28971286818905,463.11926,A-MH,4
148,66060,13.757959999999995,42.32627698845919,565.83936,A-L,1
149,66065,13.515249345999717,42.1361086359956,393.5626,A-MH,3
150,66087,13.554148351281814,42.28907706724689,439.54297,A-L,5
151,66097,13.679138194739606,42.147971169401565,479.92764,A-L,3
152,66043,13.610606900000004,42.23696879419047,464.21097,B-L,0
153,66097,13.67851934934583,42.15567976473076,585.6993,A-L,1
154,66087,13.560303000000005,42.28536448842336,391.37106,A-L,3
155,66087,13.553297874119542,42.28901664618747,426.52527,A-L,5
156,66060,13.75514699999999,42.3293349884618,607.64197,A-MH,1
157,66087,13.560085,42.28472198842283,421.2103,A-L,1
158,67034,13.55238700000001,42.52251998862981,470.28592,B-MH,0
159,66060,13.758183000000002,42.32714299422998,572.4535,A-L,1
160,66087,13.5588907,42.288120494212905,460.66418,A-L,5
161,66097,13.680649369136168,42.152979605139606,532.1374,A-L,1
162,66087,13.556124500000005,42.28823698842589,456.53992,A-L,5
163,66087,13.554937799999994,42.29233139421473,447.82358,A-L,4
164,66043,13.60529687536918,42.22975906530532,511.65613,A-MH,4
165,66087,13.5694819,42.29258969421486,410.67407,A-L,3
166,66087,13.56934906252291,42.2924275370174,410.67407,A-L,3
167,66060,13.758182,42.32712798845985,572.4535,A-L,3
168,66014,13.6959448,42.32566548845862,515.3625,A-MH,2
169,66087,13.569102800000008,42.29252408842965,410.67407,A-L,2
170,66073,13.5381844,42.31982768845355,448.89438,B-L,0
171,66087,13.556547399999998,42.288386288426025,446.9307,A-L,5
172,66087,13.559066718020768,42.28836111162307,469.0881,A-L,5
173,66087,13.56971662797137,42.29250493024347,410.67407,A-L,1
174,66014,13.698453787723755,42.32592745581668,504.67365,A-L,0
175,66027,13.742269500000006,42.11490499413679,442.7606,B-MH,0
176,66043,13.605543486929554,42.229840651984965,511.65613,A-L,4
177,66040,13.780187101126083,42.22352783533808,529.70135,A-L,4
178,66087,13.555573899999994,42.290117388427554,480.22928,A-L,4
179,66087,13.554097999999993,42.2916039884288,461.85904,A-L,4
180,66087,13.55991929999999,42.28453898842263,439.94473,A-L,4
181,66060,13.758305000000002,42.32759798846028,565.9185,B-L,4
182,66014,13.695539,42.32625088845917,516.63245,A-MH,0
