id,col,row,Longitude,Latitude,vs30
10161,103,47,13.586354020042448,42.65597768836203,516.0181
10162,104,47,13.592438422458963,42.65605262314936,475.75583
10163,105,47,13.59852284807237,42.65612723488668,488.0848
10164,106,47,13.604607296782545,42.65620152357053,477.5236
10165,107,47,13.610691768489374,42.65627548919755,536.8374
10166,108,47,13.616776263092737,42.65634913176433,547.1604
10167,109,47,13.622860780492502,42.65642245126744,411.57858
10168,110,47,13.628945320588551,42.656495447703605,411.57858
10169,111,47,13.635029883280756,42.65656812106937,411.57858
10170,112,47,13.64111446846898,42.65664047136144,446.0921
10171,113,47,13.647199076053088,42.6567124985766,516.2079
10172,114,47,13.653283705932948,42.656784202711385,411.57858
10173,115,47,13.659368358008416,42.65685558376256,411.57858
10174,116,47,13.665453032179366,42.656926641726926,411.57858
10175,117,47,13.671537728345657,42.65699737660111,453.35663
10176,118,47,13.677622446407115,42.65706778838196,441.32733
10177,119,47,13.683707186263629,42.65713787706612,429.60767
10178,120,47,13.689791947815024,42.65720764265055,422.95032
10179,121,47,13.695876730961157,42.65727708513189,411.57858
10180,122,47,13.701961535601868,42.65734620450707,411.57858
10181,123,47,13.70804636163702,42.65741500077287,411.57858
10182,124,47,13.714131208966435,42.65748347392609,411.57858
10183,125,47,13.720216077489962,42.65755162396359,411.57858
10184,126,47,13.726300967107427,42.65761945088239,426.71625
10185,127,47,13.73238587771868,42.65768695467919,441.53488
10186,128,47,13.738470809223545,42.657754135351006,426.2812
10187,129,47,13.744555761521852,42.65782099289466,425.91257
10188,130,47,13.75064073451344,42.657887527307246,425.8691
10189,131,47,13.756725728098123,42.65795373858554,426.35104
10190,132,47,13.762810742175724,42.65801962672663,434.51218
10191,133,47,13.768895776646072,42.65808519172734,439.63043
10192,134,47,13.77498083140899,42.658150433584815,456.29105
10193,135,47,13.781065906364285,42.65821535229603,435.69296
10194,136,47,13.78715100141178,42.65827994785791,434.02194
10195,137,47,13.79323611645129,42.65834422026765,432.5136
10196,138,47,13.799321251382622,42.658408169522126,411.91733
10197,139,47,13.805406406105586,42.65847179561852,421.52643
10198,140,47,13.811491580519991,42.65853509855386,436.82144
10199,141,47,13.81757677452564,42.658598078325255,450.30072
10200,142,47,13.82366198802234,42.65866073492984,418.39346
10201,143,47,13.829747220909884,42.6587230683647,395.13077
10202,144,47,13.835832473088088,42.65878507862702,403.87167
10203,145,47,13.841917744456731,42.658846765713896,451.94595
10204,146,47,13.848003034915626,42.6589081296226,436.594
10205,147,47,13.854088344364545,42.65896917035017,377.5782
10206,148,47,13.860173672703292,42.659029887893865,406.9339
10207,149,47,13.86625901983166,42.65909028225098,432.7215
10208,150,47,13.872344385649424,42.6591503534186,391.13885
10209,151,47,13.878429770056371,42.659210101394095,417.04883
10210,152,47,13.884515172952304,42.659269526174654,397.43283
10211,153,47,13.890600594236986,42.6593286277576,378.99017
10212,154,47,13.896686033810196,42.65938740614011,380.83496
10213,155,47,13.902771491571718,42.65944586131968,390.95502
10214,156,47,13.90885696742133,42.65950399329338,405.7346
10215,157,47,13.9149424612588,42.65956180205871,364.0228
10216,158,47,13.921027972983904,42.65961928761307,390.1744
10217,159,47,13.927113502496418,42.6596764499537,389.0199
10218,160,47,13.933199049696093,42.65973328907794,362.63052
10219,161,47,13.939284614482702,42.659789804983305,365.73874
10220,162,47,13.945370196756018,42.65984599766709,364.0228
10221,163,47,13.951455796415804,42.65990186712678,368.7082
10222,164,47,13.957541413361808,42.659957413359855,359.52728
10223,165,47,13.963627047493802,42.66001263636371,340.4525
10224,166,47,13.969712698711538,42.66006753613576,382.806
10225,167,47,13.975798366914772,42.6601221126736,367.45163
10226,168,47,13.981884052003265,42.660176365974586,370.3687
10227,169,47,13.987969753876744,42.66023029603637,370.41788
10228,170,47,13.994055472434988,42.66028390285641,363.3399
10229,171,47,14.00014120757774,42.66033718643219,369.16855
10230,172,47,14.00622695920474,42.66039014676138,319.6283
10231,173,47,14.012312727215727,42.66044278384146,371.37045
10232,174,47,14.018398511510464,42.66049509767,371.37045
10233,175,47,14.024484311988685,42.660547088244726,371.37045
10234,176,47,14.030570128550115,42.66059875556312,308.38104
10235,177,47,14.03665596109452,42.66065009962287,-1.0
10236,178,47,14.042741809521608,42.66070112042163,-1.0
10237,179,47,14.048827673731132,42.660751817957,-1.0
10238,180,47,14.054913553622812,42.66080219222674,-1.0
10239,181,47,14.0609994490964,42.66085224322843,-1.0
10240,182,47,14.067085360051614,42.660901970959856,-1.0
10241,183,47,14.073171286388185,42.66095137541868,-1.0
10242,184,47,14.07925722800583,42.66100045660272,-1.0
10243,185,47,14.085343184804293,42.66104921450961,-1.0
10244,186,47,14.09142915668328,42.66109764913722,-1.0
10245,187,47,14.097515143542523,42.66114576048321,-1.0
10246,188,47,14.10360114528174,42.66119354854553,-1.0
10247,189,47,14.109687161800656,42.66124101332178,-1.0
10248,190,47,14.115773192998985,42.66128815480999,-1.0
10249,191,47,14.12185923877643,42.66133497300786,-1.0
10250,192,47,14.127945299032724,42.66138146791322,-1.0
10251,193,47,14.13403137366758,42.661427639524106,-1.0
10252,194,47,14.14011746258069,42.66147348783822,-1.0
10253,195,47,14.146203565671788,42.66151901285357,-1.0
10254,196,47,14.152289682840571,42.66156421456796,-1.0
10255,197,47,14.15837581398674,42.66160909297943,-1.0
10256,198,47,14.16446195901001,42.661653648085846,-1.0
10257,199,47,14.170548117810087,42.661697879885175,-1.0
10258,200,47,14.176634290286668,42.66174178837544,-1.0
10259,201,47,14.182720476339451,42.66178537355453,-1.0
10260,202,47,14.188806675868156,42.66182863542051,-1.0
10261,203,47,14.194892888772449,42.6618715739714,-1.0
10262,204,47,14.20097911495205,42.66191418920521,-1.0
10263,205,47,14.207065354306655,42.66195648111997,-1.0
10264,206,47,14.21315160673595,42.66199844971372,-1.0
10265,207,47,14.219237872139624,42.6620400949846,-1.0
10266,208,47,14.225324150417393,42.66208141693064,-1.0
10267,209,47,14.231410441468917,42.66212241555,-1.0
10268,210,47,14.2374967451939,42.6621630908407,-1.0
10269,211,47,14.243583061492028,42.66220344280099,-1.0
10270,212,47,14.249669390262982,42.66224347142892,-1.0
10271,213,47,14.255755731406463,42.66228317672276,-1.0
10272,0,48,12.959950718636197,42.64202817589436,466.16522
10273,1,48,12.966031758158971,42.64213634678482,463.4945
