mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.014,0.017,4743.0,2132.0,1.0
0.014,0.02,4716.0,2192.0,1.0
0.011,0.008,2801.0,2158.0,1.0
0.012,0.009,3186.0,2202.0,1.0
0.014,0.017,4560.0,2350.0,1.0
0.014,0.017,4086.0,2282.0,1.0
0.013,0.017,4023.0,2181.0,1.0
0.011,0.01,3781.0,2593.0,1.0
0.012,0.011,3726.0,2300.0,1.0
0.013,0.021,5770.0,2032.0,1.0
0.013,0.02,5214.0,1858.0,1.0
0.013,0.011,2931.0,2281.0,1.0
0.014,0.016,4121.0,2402.0,1.0
0.016,0.016,3709.0,2329.0,1.0
0.013,0.013,3622.0,2409.0,1.0
0.011,0.008,2173.0,2115.0,1.0
0.014,0.021,4872.0,1751.0,1.0
0.012,0.013,3610.0,2601.0,1.0
0.015,0.018,4532.0,2144.0,1.0
0.012,0.01,4924.0,2334.0,1.0
0.011,0.009,2671.0,2232.0,1.0
0.013,0.02,5937.0,2156.0,1.0
0.016,0.016,3262.0,2100.0,1.0
0.014,0.015,3859.0,2348.0,1.0
0.01,0.008,2441.0,2392.0,1.0
0.01,0.007,2297.0,2039.0,1.0
0.011,0.012,3207.0,2193.0,1.0
0.011,0.011,3151.0,2403.0,1.0
0.015,0.017,4246.0,2647.0,1.0
0.013,0.019,5676.0,2283.0,1.0
0.014,0.018,4722.0,2543.0,1.0
0.013,0.018,5506.0,2377.0,1.0
0.013,0.018,5364.0,2269.0,1.0
0.013,0.01,3054.0,2260.0,1.0
0.014,0.02,4946.0,2264.0,1.0
0.01,0.008,2661.0,2404.0,1.0
0.014,0.02,5271.0,1836.0,1.0
0.014,0.014,4154.0,2054.0,1.0
0.013,0.015,4809.0,2324.0,1.0
0.015,0.022,4697.0,2080.0,1.0
0.013,0.018,5366.0,2127.0,1.0
0.013,0.018,4995.0,2136.0,1.0
0.012,0.012,3751.0,2523.0,1.0
0.013,0.009,4515.0,2461.0,1.0
0.013,0.018,5787.0,2162.0,1.0
0.011,0.008,2750.0,2059.0,1.0
0.011,0.009,2624.0,2190.0,1.0
0.013,0.014,4781.0,2068.0,1.0
0.014,0.018,4762.0,2157.0,1.0
0.015,0.018,4509.0,2397.0,1.0
0.013,0.018,5610.0,2143.0,1.0
0.014,0.021,5172.0,2318.0,1.0
0.015,0.019,4573.0,2416.0,1.0
0.013,0.01,2421.0,2433.0,1.0
0.012,0.011,3331.0,2642.0,1.0
0.014,0.014,3965.0,2163.0,1.0
0.011,0.008,2368.0,2469.0,1.0
0.013,0.016,5656.0,2275.0,1.0
0.014,0.021,4940.0,2296.0,1.0
0.015,0.017,3270.0,2167.0,1.0
0.015,0.013,2969.0,2352.0,1.0
0.015,0.019,4399.0,2208.0,1.0
0.014,0.017,5036.0,2376.0,1.0
0.014,0.021,5207.0,2001.0,1.0
0.011,0.009,2314.0,2229.0,1.0
0.012,0.009,2433.0,2069.0,1.0
0.011,0.008,2950.0,2328.0,1.0
0.01,0.009,3508.0,2451.0,1.0
0.013,0.021,5348.0,2142.0,1.0
0.014,0.021,4960.0,2106.0,1.0
0.013,0.019,5064.0,2131.0,1.0
0.013,0.018,4910.0,2042.0,1.0
0.013,0.016,5219.0,2378.0,1.0
0.014,0.019,4776.0,2153.0,1.0
0.01,0.008,2710.0,2182.0,1.0
0.014,0.02,4977.0,2168.0,1.0
0.014,0.02,5116.0,2184.0,1.0
0.014,0.018,4646.0,2281.0,1.0
0.013,0.018,4658.0,2249.0,1.0
0.011,0.01,2891.0,2361.0,1.0
0.012,0.018,5511.0,2044.0,1.0
0.01,0.009,3173.0,2487.0,1.0
0.013,0.019,4725.0,1999.0,1.0
0.013,0.016,5214.0,2306.0,1.0
0.013,0.016,5502.0,2137.0,1.0
0.013,0.019,5431.0,2127.0,1.0
0.014,0.02,4919.0,2223.0,1.0
0.014,0.018,4929.0,2352.0,1.0
0.014,0.019,4707.0,2250.0,1.0
0.013,0.014,3956.0,2382.0,1.0
0.014,0.019,4579.0,2225.0,1.0
0.014,0.013,2825.0,2123.0,1.0
0.013,0.019,5860.0,2165.0,1.0
0.015,0.018,4582.0,2270.0,1.0
0.013,0.018,5017.0,2381.0,1.0
0.012,0.009,2688.0,2175.0,1.0
0.013,0.018,5374.0,2540.0,1.0
0.014,0.019,5254.0,2270.0,1.0
0.014,0.022,5197.0,2142.0,1.0
0.012,0.013,3745.0,2432.0,1.0
0.014,0.02,5103.0,2208.0,1.0
0.014,0.021,5080.0,2102.0,1.0
0.011,0.008,2623.0,2323.0,1.0
0.013,0.02,5194.0,2036.0,1.0
0.014,0.018,5061.0,2185.0,1.0
0.01,0.009,2777.0,2376.0,1.0
0.015,0.021,4742.0,1943.0,1.0
0.013,0.02,6096.0,2409.0,1.0
0.011,0.012,3301.0,2266.0,1.0
0.014,0.015,4575.0,2437.0,1.0
0.014,0.02,5532.0,2228.0,1.0
0.015,0.018,4215.0,2485.0,1.0
0.014,0.019,4857.0,2017.0,1.0
0.011,0.011,3478.0,2364.0,1.0
0.014,0.019,4984.0,2243.0,1.0
0.013,0.012,2904.0,2344.0,1.0
0.015,0.013,3184.0,2465.0,1.0
0.013,0.01,3291.0,2395.0,1.0
0.014,0.02,5092.0,1862.0,1.01
0.014,0.017,4166.0,2371.0,1.0
0.015,0.02,4514.0,2353.0,1.0
0.014,0.02,4876.0,2046.0,1.01
0.014,0.015,3348.0,2284.0,1.0
0.015,0.022,4522.0,2004.0,1.0
0.015,0.019,4134.0,2230.0,1.0
0.012,0.011,4266.0,2333.0,1.0
0.017,0.021,3789.0,2204.0,1.0
0.013,0.02,5512.0,1916.0,1.0
0.013,0.011,4063.0,2332.0,1.0
0.014,0.019,4894.0,2264.0,1.0
0.013,0.02,5822.0,2311.0,1.0
0.014,0.019,4854.0,2347.0,1.0
0.015,0.015,3752.0,2278.0,1.0
0.01,0.007,2694.0,2555.0,1.0
0.013,0.021,5389.0,1808.0,1.0
0.013,0.019,5433.0,2364.0,1.0
0.013,0.016,3874.0,2270.0,1.0
0.014,0.021,5207.0,2235.0,1.0
0.013,0.016,3801.0,2207.0,1.0
0.015,0.022,4912.0,2040.0,1.0
0.014,0.02,5156.0,1937.0,1.0
0.014,0.02,4653.0,1981.0,1.0
0.015,0.016,3561.0,2397.0,1.0
0.015,0.022,4548.0,1997.0,1.0
