mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.012,0.02,6924.0,2054.0,1.0
0.011,0.022,7830.0,2131.0,1.0
0.004,0.003,5092.0,2488.0,1.0
0.006,0.005,5188.0,2449.0,1.0
0.011,0.017,6362.0,2045.0,1.0
0.011,0.013,7043.0,2179.0,1.0
0.011,0.014,4966.0,2401.0,1.0
0.007,0.008,4296.0,2332.0,1.0
0.01,0.01,5337.0,2192.0,1.0
0.012,0.023,7129.0,2188.0,1.0
0.012,0.021,6765.0,2170.0,1.0
0.011,0.012,4570.0,2499.0,1.0
0.011,0.017,7022.0,2138.0,1.0
0.012,0.02,5973.0,1943.0,1.0
0.01,0.012,4350.0,1882.0,1.0
0.004,0.003,3205.0,2433.0,1.0
0.012,0.021,6296.0,1605.0,1.0
0.008,0.01,5350.0,2436.0,1.0
0.012,0.019,6527.0,2186.0,1.0
0.007,0.006,6653.0,1980.0,1.0
0.005,0.004,4341.0,2488.0,1.0
0.012,0.021,6736.0,2098.0,1.0
0.011,0.018,7068.0,2199.0,1.0
0.012,0.018,5461.0,2005.0,1.0
0.004,0.003,3666.0,2434.0,1.0
0.004,0.003,3223.0,2271.0,1.0
0.006,0.005,4307.0,2193.0,1.0
0.005,0.007,4955.0,2220.0,1.0
0.011,0.022,8118.0,1884.0,1.0
0.01,0.022,9704.0,2146.0,1.0
0.011,0.023,8316.0,2261.0,1.0
0.011,0.019,7846.0,2253.0,1.0
0.012,0.02,6647.0,2432.0,1.0
0.008,0.007,4799.0,2076.0,1.0
0.011,0.023,9175.0,2044.0,1.0
0.004,0.003,4238.0,2221.0,1.01
0.011,0.022,8280.0,1853.0,1.0
0.01,0.013,8172.0,2152.0,1.0
0.01,0.013,6619.0,2425.0,1.0
0.011,0.022,8338.0,2036.0,1.0
0.011,0.021,7276.0,1920.0,1.0
0.012,0.02,6638.0,2145.0,1.0
0.01,0.015,6700.0,2309.0,1.0
0.01,0.008,7104.0,2314.0,1.0
0.011,0.021,8316.0,2154.0,1.0
0.004,0.003,4350.0,2435.0,1.0
0.005,0.004,4038.0,2426.0,1.0
0.009,0.012,7544.0,2446.0,1.0
0.012,0.022,6580.0,2139.0,1.0
0.011,0.017,7469.0,2500.0,1.0
0.01,0.021,9772.0,1892.0,1.0
0.011,0.021,7617.0,2108.0,1.0
0.012,0.027,6918.0,1515.0,1.01
0.008,0.006,4234.0,2151.0,1.0
0.007,0.008,4875.0,2546.0,1.0
0.011,0.011,5386.0,2249.0,1.0
0.005,0.005,4194.0,2782.0,1.0
0.012,0.015,5882.0,1875.0,1.0
0.012,0.022,7721.0,1951.0,1.0
0.012,0.017,5622.0,2382.0,1.0
0.012,0.015,5367.0,2545.0,1.0
0.011,0.021,7798.0,1770.0,1.0
0.011,0.018,8367.0,2151.0,1.0
0.011,0.019,7405.0,2254.0,1.0
0.004,0.003,3877.0,2262.0,1.0
0.004,0.003,4077.0,2560.0,1.0
0.006,0.005,5433.0,2547.0,1.0
0.005,0.005,5595.0,2210.0,1.0
0.01,0.021,9283.0,2129.0,1.0
0.011,0.019,7645.0,2272.0,1.0
0.01,0.017,7051.0,2192.0,1.01
0.01,0.02,7701.0,2143.0,1.0
0.012,0.022,7244.0,2003.0,1.0
0.011,0.021,7488.0,1604.0,1.0
0.004,0.004,4411.0,2466.0,1.0
0.011,0.023,7536.0,2005.0,1.0
0.011,0.021,9381.0,2226.0,1.0
0.012,0.02,6145.0,2180.0,1.0
0.011,0.018,6288.0,2109.0,1.0
0.005,0.004,4869.0,2453.0,1.0
0.011,0.017,6903.0,2105.0,1.0
0.004,0.005,5075.0,2435.0,1.0
0.012,0.014,5525.0,2716.0,1.0
0.011,0.018,6929.0,2185.0,1.0
0.012,0.016,6175.0,2103.0,1.0
0.01,0.019,8431.0,2277.0,1.0
0.013,0.021,6344.0,2106.0,1.0
0.012,0.019,6458.0,2192.0,1.0
0.011,0.022,7463.0,2051.0,1.01
0.012,0.014,5660.0,2464.0,1.0
0.011,0.022,9041.0,1955.0,1.01
0.01,0.013,5288.0,2352.0,1.0
0.011,0.024,8514.0,1778.0,1.0
0.012,0.023,7301.0,1979.0,1.0
0.01,0.019,8322.0,2252.0,1.0
0.005,0.005,5037.0,2709.0,1.0
0.012,0.02,7244.0,2274.0,1.0
0.011,0.021,7404.0,2013.0,1.0
0.011,0.021,8075.0,2182.0,1.0
0.008,0.012,5782.0,2214.0,1.0
0.012,0.022,7052.0,2006.0,1.0
0.011,0.019,7767.0,2331.0,1.0
0.004,0.003,4443.0,2305.0,1.0
0.011,0.022,8279.0,2147.0,1.0
0.01,0.023,10170.0,2136.0,1.0
0.004,0.005,5045.0,2413.0,1.0
0.011,0.022,8400.0,1826.0,1.0
0.012,0.026,7459.0,1826.0,1.01
0.008,0.011,5202.0,2369.0,1.0
0.01,0.013,6525.0,2143.0,1.0
0.013,0.022,6270.0,2101.0,1.0
0.012,0.024,6998.0,1548.0,1.0
0.011,0.022,8282.0,2015.0,1.0
0.007,0.007,5000.0,2056.0,1.0
0.01,0.023,9085.0,1851.0,1.0
0.009,0.01,4353.0,2333.0,1.0
0.01,0.015,6602.0,1941.0,1.0
0.008,0.007,5736.0,2335.0,1.0
0.011,0.015,6821.0,2072.0,1.0
0.01,0.018,7412.0,2003.0,1.01
0.014,0.022,5288.0,1886.0,1.01
0.011,0.019,6918.0,2030.0,1.0
0.012,0.017,5806.0,2242.0,1.0
0.011,0.024,8423.0,1973.0,1.0
0.013,0.019,6078.0,2247.0,1.0
0.009,0.009,5262.0,2147.0,1.0
0.012,0.02,7118.0,2322.0,1.0
0.01,0.014,6366.0,2000.0,1.0
0.01,0.009,5839.0,2104.0,1.0
0.01,0.018,7933.0,2095.0,1.0
0.011,0.02,7336.0,2101.0,1.0
0.012,0.02,6251.0,2226.0,1.0
0.011,0.02,7971.0,1578.0,1.0
0.004,0.004,4774.0,2311.0,1.0
0.013,0.022,5515.0,1911.0,1.0
0.012,0.021,6444.0,2108.0,1.0
0.01,0.011,5708.0,2372.0,1.0
0.011,0.022,8067.0,2000.0,1.01
0.011,0.018,6751.0,2060.0,1.0
0.011,0.021,7547.0,2047.0,1.0
0.011,0.019,7449.0,2072.0,1.0
0.012,0.021,6917.0,2022.0,1.0
0.011,0.015,6351.0,2603.0,1.0
0.012,0.022,7243.0,2148.0,1.0
0.009,0.009,4843.0,2462.0,1.0
