mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.013,0.019,5607.0,1814.0,1.0
0.016,0.019,3674.0,2075.0,1.0
0.005,0.004,3341.0,2220.0,1.0
0.007,0.006,3658.0,2362.0,1.0
0.013,0.017,5039.0,1908.0,1.0
0.013,0.013,4737.0,2113.0,1.0
0.012,0.013,4195.0,2220.0,1.0
0.008,0.008,3053.0,1962.0,1.0
0.011,0.011,4177.0,1976.0,1.0
0.014,0.022,5610.0,2099.0,1.0
0.013,0.021,5523.0,2255.0,1.0
0.012,0.011,3685.0,2409.0,1.0
0.013,0.017,5031.0,2373.0,1.0
0.015,0.019,4542.0,2248.0,1.0
0.01,0.01,3584.0,2320.0,1.0
0.004,0.003,2419.0,2098.0,1.0
0.012,0.019,6226.0,2199.0,1.0
0.01,0.009,3466.0,2454.0,1.0
0.013,0.019,5631.0,2018.0,1.0
0.009,0.007,4723.0,1986.0,1.0
0.006,0.004,3336.0,2213.0,1.0
0.014,0.019,4870.0,2208.0,1.0
0.015,0.017,3599.0,2295.0,1.0
0.014,0.018,4179.0,2072.0,1.0
0.005,0.003,2364.0,2092.0,1.0
0.005,0.003,1983.0,1914.0,1.0
0.007,0.005,3146.0,2066.0,1.0
0.006,0.006,3414.0,2351.0,1.0
0.013,0.021,5407.0,2079.0,1.0
0.012,0.022,6889.0,2347.0,1.0
0.014,0.02,5364.0,2427.0,1.0
0.014,0.018,4789.0,1955.0,1.0
0.013,0.021,5737.0,1957.0,1.0
0.01,0.007,3353.0,2203.0,1.0
0.014,0.021,5220.0,2129.0,1.0
0.004,0.003,3298.0,2311.0,1.01
0.014,0.022,5765.0,2091.0,1.0
0.012,0.012,5374.0,2235.0,1.0
0.013,0.012,4035.0,2307.0,1.0
0.013,0.022,6173.0,2106.0,1.0
0.013,0.02,5694.0,2057.0,1.0
0.013,0.021,5828.0,2023.0,1.0
0.012,0.015,4598.0,1958.0,1.0
0.012,0.009,4607.0,2136.0,1.0
0.012,0.022,6392.0,1956.0,1.0
0.005,0.004,2966.0,2233.0,1.0
0.006,0.004,2768.0,2085.0,1.0
0.011,0.011,5304.0,2329.0,1.0
0.013,0.019,5521.0,2056.0,1.0
0.013,0.016,5176.0,2319.0,1.0
0.012,0.018,6184.0,2082.0,1.0
0.013,0.022,5803.0,1900.0,1.0
0.013,0.02,5494.0,2241.0,1.0
0.01,0.007,2564.0,2135.0,1.0
0.009,0.007,2651.0,2368.0,1.0
0.011,0.01,4830.0,2224.0,1.0
