,id,Longitude,Latitude,vs30,BuildingClass
30175,0,13.430659720215068,42.30248535629505,529.9337,A
8012,1,13.28876492748401,42.39642922039322,509.20395,A
32034,2,13.365189700000002,42.36592188849375,450.50436,A
14428,3,13.402772942986308,42.34871962493701,453.86163,A
16642,4,13.4005591521729,42.352410094098936,455.2407,A
16088,5,13.494269143835483,42.32895867940053,371.37045,A
29548,6,13.348182763904584,42.342591130576025,441.69653,A
8410,7,13.312924641654924,42.39943573781706,451.7007,A
12735,8,13.399006700000005,42.343980288474576,556.02625,A
8094,9,13.240281016256237,42.402967950203575,451.87497,A
30530,10,13.340738047246074,42.37212524111517,450.77905,A
29537,11,13.470153216557987,42.357995749015096,428.4318,A
8313,12,13.49494703485214,42.328121581220245,371.37045,A
14167,13,13.391629400000005,42.35457798848392,497.89334,A
9832,14,13.35530918362864,42.36621835518449,407.1217,A
34428,15,13.399648125497016,42.35343514421933,455.22208,A
12996,16,13.3952816,42.351941488481565,498.50095,A
15452,17,13.409138758233391,42.362787290595165,455.15997,A
19366,18,13.468412677514412,42.35932115937471,428.30173,A
16622,19,13.394238168154798,42.35199014597642,440.79144,A
33843,20,13.34391276170139,42.34200958623409,461.61185,A
16755,21,13.398266473117186,42.35040823001676,454.35764,A
5834,22,13.279172200000003,42.39332989425883,472.5373,A
19846,23,13.457921693436813,42.39602039645635,462.56107,A
14930,24,13.477187614790038,42.32665613195056,291.1554,A
29219,25,13.422254780481913,42.339924979145145,551.5197,A
17214,26,13.461147000000002,42.3188605884527,371.37045,A
18155,27,13.389786999999991,42.35956838848819,451.20157,A
29257,28,13.495719589337188,42.32682918881736,371.37045,A
14559,29,13.3957514,42.342884688473646,471.65158,A
29384,30,13.312511923219132,42.3522654611286,451.15405,A
12638,31,13.294285427784605,42.37771954028123,496.6547,A
12990,32,13.410359772109908,42.35867823995337,455.25928,A
13556,33,13.395882,42.34884028847883,536.0559,A
4846,34,13.416352799999997,42.32385648845703,448.9341,A
10704,35,13.51973704603924,42.37743190249248,435.3471,A
29164,36,13.45938420722486,42.36451252672743,427.67313,A
18244,37,13.39431435673036,42.35334351536414,501.82816,A
5957,38,13.453764389647128,42.33830880076656,448.81265,A
8469,39,13.41090589944093,42.327653642780206,450.03345,A
31655,40,13.463546452360362,42.36527373371258,433.94858,A
13417,41,13.400989224554772,42.34715263308462,453.20468,A
29952,42,13.301900344947152,42.33317882685673,467.91635,A
1361,43,13.375535899999996,42.360116688488695,407.00665,A
33220,44,13.4095472,42.33410448846597,449.31064,A
16837,45,13.418756287982522,42.39780611169054,441.00125,A
13272,46,13.476177648543224,42.3553476417153,428.39224,A
29691,47,13.449403696365785,42.363678981669096,394.83755,A
29223,48,13.35070851124424,42.33138869512991,410.25555,A
17734,49,13.3921178,42.35671439424284,450.7585,A
17423,50,13.401008500000003,42.36429918849234,456.60916,A
18115,51,13.39370289112645,42.3489346986172,494.38168,A
30737,52,13.296699711467552,42.315541310082814,464.53128,A
34179,53,13.473368887276958,42.35915069141087,452.20898,A
23225,54,13.464378784503252,42.362894833441,397.6335,A
29918,55,13.495197890070648,42.39094018892371,411.57858,A
12781,56,13.401738699999996,42.349123688479104,453.53436,A
32797,57,13.396041599999997,42.353544394241474,454.05942,A
17899,58,13.389647500000002,42.36088389424467,452.10803,A
14910,59,13.408715286474369,42.35529876425704,453.91913,A
16629,60,13.3904631,42.35837248848718,450.9908,A
18917,61,13.334553499999997,42.36763748849519,452.77444,A
18117,62,13.390712011006228,42.36250411815296,452.64328,A
11970,63,13.396148999999996,42.35174448848132,453.7784,A
16853,64,13.337334402622451,42.36753745840424,451.7007,A
19268,65,13.431578900000009,42.34830548847838,553.76483,A
20332,66,13.316030160540882,42.39861068949389,453.7784,A
4814,67,13.22778095606523,42.40490481762826,460.11157,A
15713,68,13.3997986,42.34954379423973,455.14755,A
13607,69,13.357631811757726,42.32745226536138,428.13278,A
4604,70,13.440077345632336,42.3042437323607,502.7996,A
16398,71,13.3969074,42.35210429424088,454.307,A
19816,72,13.33961480241268,42.37152966896348,450.67624,A
10215,73,13.22755349214876,42.40518324251768,426.06876,A
29841,74,13.508048819362344,42.41598615375665,437.21674,A
8300,75,13.449187724871562,42.36413834715968,422.74014,A
12347,76,13.521435154658947,42.37746307271149,470.07043,A
12815,77,13.440244389721109,42.30505164348239,521.5508,A
17458,78,13.413312999999995,42.35301978848251,455.07913,A
16947,79,13.457594817205342,42.36710496295696,427.40698,A
624,80,13.495071709084495,42.390854160806015,411.57858,A
8015,81,13.241093897284776,42.40230916415311,432.59836,A
8138,82,13.402602100000008,42.35254478848203,454.97943,A
5071,83,13.391398644535473,42.36609682434218,453.36658,A
6275,84,13.340699575078252,42.41949086126789,458.88544,A
17217,85,13.492919214812348,42.328643828372,371.37045,A
17785,86,13.398182699999998,42.35796048848681,453.5279,A
16012,87,13.414331796726556,42.39885975208141,411.57858,A
16727,88,13.398508211870023,42.35040008833463,454.35764,A
18204,89,13.39252951996128,42.3603639587074,452.71545,A
21223,90,13.305055971506244,42.324488073574784,469.13214,A
19238,91,13.348494927421967,42.37873799107943,451.8948,A
33187,92,13.362193009531484,42.326757960804,434.5967,A
30378,93,13.509438664084444,42.35663712833821,455.7176,A
29794,94,13.493236598372636,42.39055608890892,459.39648,A
20056,95,13.43010199104372,42.30331793765766,518.6875,A
28256,96,13.458220602073444,42.397004499177655,464.48593,A
29963,97,13.397002000000004,42.350965188480735,454.3513,A
18299,98,13.372693596590498,42.36301749200086,406.89124,A
6634,99,13.422150166686752,42.308198531597576,561.37726,A
12099,100,13.234576229454914,42.41182780057623,448.54282,A
5280,101,13.410759937980066,42.32078830117022,491.80322,A
8087,102,13.3969967829714,42.34936623355908,454.6916,A
32664,103,13.30742020411551,42.35216130106717,451.16086,A
19219,104,13.323192518823207,42.326332847418215,463.61664,A
