id,Longitude,Latitude,vs30,BuildingClass,DamageState,epiazimuth,mu_logIM,tau_logIM,phi_logIM
0,13.430659720215068,42.30248535629505,529.9337,A,2,44.62655253590012,-0.5650726957669658,0.5019635502727019,0.6677496769682731
1,13.28876492748401,42.39642922039322,509.20395,A,3,164.16530723081104,-0.677659124148111,0.5019635502727019,0.6677496769682731
2,13.365189700000002,42.36592188849375,450.50436,A,3,169.83776673948796,-0.5650726957669658,0.5019635502727019,0.6677496769682731
3,13.402772942986308,42.34871962493701,453.86163,A,2,177.77493743029788,-0.5650726957669658,0.5019635502727019,0.6677496769682731
4,13.4005591521729,42.352410094098936,455.2407,A,3,179.7241740274016,-0.5650726957669658,0.5019635502727019,0.6677496769682731
5,13.494269143835483,42.32895867940053,371.37045,A,3,303.6613339206665,-0.5650726957669658,0.5019635502727019,0.6677496769682731
6,13.348182763904584,42.342591130576025,441.69653,A,0,146.459170616351,-0.5650726957669658,0.5019635502727019,0.6677496769682731
7,13.312924641654924,42.39943573781706,451.7007,A,3,170.32717462077215,-0.6276647148094298,0.5019635502727019,0.6677496769682731
8,13.399006700000005,42.343980288474576,556.02625,A,1,168.3801432556941,-0.5650726957669658,0.5019635502727019,0.6677496769682731
9,13.240281016256237,42.402967950203575,451.87497,A,1,158.9965303966301,-0.8909250008721158,0.5019635502727019,0.6677496769682731
10,13.340738047246074,42.37212524111517,450.77905,A,2,165.15550251289204,-0.5650726957669658,0.5019635502727019,0.6677496769682731
11,13.470153216557987,42.357995749015096,428.4318,A,3,258.8127366617069,-0.5650726957669658,0.5019635502727019,0.6677496769682731
12,13.49494703485214,42.328121581220245,371.37045,A,3,304.7668973502323,-0.5650726957669658,0.5019635502727019,0.6677496769682731
13,13.391629400000005,42.35457798848392,497.89334,A,2,174.90095380845827,-0.5650726957669658,0.5019635502727019,0.6677496769682731
14,13.35530918362864,42.36621835518449,407.1217,A,2,166.25837041169132,-0.5650726957669658,0.5019635502727019,0.6677496769682731
15,13.399648125497016,42.35343514421933,455.22208,A,1,179.9448476563972,-0.5650726957669658,0.5019635502727019,0.6677496769682731
16,13.3952816,42.351941488481565,498.50095,A,3,174.95988891717502,-0.5650726957669658,0.5019635502727019,0.6677496769682731
17,13.409138758233391,42.362787290595165,455.15997,A,0,195.43681386003544,-0.5650726957669658,0.5019635502727019,0.6677496769682731
18,13.468412677514412,42.35932115937471,428.30173,A,3,256.4213277182824,-0.5650726957669658,0.5019635502727019,0.6677496769682731
19,13.394238168154798,42.35199014597642,440.79144,A,1,174.2294723332639,-0.5650726957669658,0.5019635502727019,0.6677496769682731
20,13.34391276170139,42.34200958623409,461.61185,A,0,145.24070908667932,-0.5650726957669658,0.5019635502727019,0.6677496769682731
21,13.398266473117186,42.35040823001676,454.35764,A,2,175.6998561158295,-0.5650726957669658,0.5019635502727019,0.6677496769682731
22,13.279172200000003,42.39332989425883,472.5373,A,3,161.35009511783858,-0.6911273820321209,0.5019635502727019,0.6677496769682731
23,13.457921693436813,42.39602039645635,462.56107,A,0,234.23582386811063,-0.5946313064579105,0.5019635502727019,0.6677496769682731
24,13.477187614790038,42.32665613195056,291.1554,A,2,305.26836289761826,-0.4660615367682223,0.5019635502727019,0.6677496769682731
