row,col,Longitude,Latitude,vs30,epiazimuth,mu_logIM,tau_logIM,phi_logIM
81,38,13.195342799924678,42.49733389143794,529.75745,174.65083693226848,-1.5792604584278114,0.5019635502727019,0.6677496769682731
81,39,13.201410636798936,42.4974293067928,514.7412,175.4053319420728,-1.5610568914151568,0.5019635502727019,0.6677496769682731
81,40,13.207478503101658,42.49752440106525,512.60956,176.17913907694486,-1.542665672785363,0.5019635502727019,0.6677496769682731
81,41,13.213546398733834,42.497619174250936,390.87976,176.97271610240114,-1.5240848616214815,0.5019635502727019,0.6677496769682731
81,42,13.219614323596398,42.49771362634563,591.33765,177.7865141168113,-1.5053126701122437,0.5019635502727019,0.6677496769682731
81,43,13.22568227759034,42.49780775734488,615.9002,178.6209748492925,-1.486347489884512,0.5019635502727019,0.6677496769682731
81,44,13.231750260616607,42.49790156724453,555.2871,179.47652766667875,-1.4671879215583958,0.5019635502727019,0.6677496769682731
81,45,13.237818272576154,42.4979950560402,557.18475,180.35358627681126,-1.4478328078714895,0.5019635502727019,0.6677496769682731
81,46,13.243886313369943,42.49808822372765,572.40924,181.2525451186438,-1.428281270786831,0.5019635502727019,0.6677496769682731
81,47,13.249954382898924,42.49818107030257,557.9653,182.17377543260153,-1.4085327530126057,0.5019635502727019,0.6677496769682731
81,48,13.256022481064054,42.49827359576086,610.4327,183.11762100944975,-1.388587064424377,0.5019635502727019,0.6677496769682731
81,49,13.262090607766256,42.49836580009814,512.56824,184.0843936209676,-1.3684444339065698,0.5019635502727019,0.6677496769682731
81,50,13.268158762906488,42.49845768331024,573.31836,185.07436814269158,-1.3481055671979723,0.5019635502727019,0.6677496769682731
81,51,13.274226946385692,42.49854924539296,563.78577,186.08777738604533,-1.3275717113518581,0.5019635502727019,0.6677496769682731
81,52,13.280295158104792,42.49864048634218,494.09738,187.12480666647696,-1.3068447264848746,0.5019635502727019,0.6677496769682731
81,53,13.286363397964733,42.498731406153645,552.3786,188.18558814382953,-1.2859271655263766,0.5019635502727019,0.6677496769682731
81,54,13.292431665866438,42.4988220048232,617.40186,189.27019498249905,-1.264822362732537,0.5019635502727019,0.6677496769682731
81,55,13.298499961710853,42.4989122823468,624.0173,190.37863539058776,-1.2435345317531123,0.5019635502727019,0.6677496769682731
81,56,13.304568285398876,42.4990022387202,601.26764,191.51084661011163,-1.2220688740798775,0.5019635502727019,0.6677496769682731
81,57,13.310636636831449,42.49909187393937,675.28815,192.66668894363443,-1.20043169871962,0.5019635502727019,0.6677496769682731
81,58,13.31670501590948,42.49918118800025,691.7723,193.8459399153383,-1.1790083204990376,0.5019635502727019,0.6677496769682731
81,59,13.322773422533896,42.49927018089861,573.09375,195.04828867770192,-1.1584363939820825,0.5019635502727019,0.6677496769682731
81,60,13.328841856605594,42.49935885263053,490.43942,196.27333078634098,-1.138833902918447,0.5019635502727019,0.6677496769682731
81,61,13.334910318025504,42.49944720319185,518.9902,197.52056347527775,-1.1203173009120402,0.5019635502727019,0.6677496769682731
81,62,13.340978806694537,42.499535232578594,555.21967,198.78938157260717,-1.1030054178443993,0.5019635502727019,0.6677496769682731
81,63,13.347047322513571,42.49962294078671,563.04803,200.07907420028295,-1.0870176536304812,0.5019635502727019,0.6677496769682731
81,64,13.353115865383534,42.49971032781227,528.2779,201.38882240218175,-1.0724718660617762,0.5019635502727019,0.6677496769682731
81,65,13.359184435205307,42.49979739365111,490.8343,202.7176978396268,-1.0594819949486942,0.5019635502727019,0.6677496769682731
81,66,13.365253031879796,42.49988413829942,489.77652,204.0646626840698,-1.048155491421933,0.5019635502727019,0.6677496769682731
81,67,13.371321655307904,42.49997056175318,490.84094,205.42857082051086,-1.0385906477531048,0.5019635502727019,0.6677496769682731
81,68,13.377390305390504,42.5000566640084,492.1734,206.80817045425664,-1.0308739463226348,0.5019635502727019,0.6677496769682731
81,69,13.383458982028497,42.50014244506117,489.67538,208.2021081861368,-1.0250775627624336,0.5019635502727019,0.6677496769682731
81,70,13.389527685122774,42.50022790490764,489.29666,209.6089345889871,-1.0212571645978545,0.5019635502727019,0.6677496769682731
81,71,13.395596414574197,42.50031304354377,489.17456,211.0271112814803,-1.019450140437255,0.5019635502727019,0.6677496769682731
81,72,13.40166517028366,42.500397860965776,527.3342,212.45501945548835,-1.0196743750028925,0.5019635502727019,0.6677496769682731
81,73,13.407733952152052,42.50048235716972,565.92145,213.89096977137064,-1.0219276530556356,0.5019635502727019,0.6677496769682731
81,74,13.413802760080218,42.50056653215177,557.6181,215.33321349433947,-1.0261877335890894,0.5019635502727019,0.6677496769682731
81,75,13.419871593969052,42.50065038590808,513.53687,216.7799547054493,-1.0324130891054233,0.5019635502727019,0.6677496769682731
81,76,13.425940453719427,42.50073391843479,507.43658,218.22936338525028,-1.040544258856524,0.5019635502727019,0.6677496769682731
81,77,13.432009339232192,42.50081712972809,514.2675,219.67958913854056,-1.0505057249673058,0.5019635502727019,0.6677496769682731
81,78,13.438078250408234,42.50090001978426,551.5883,221.128775306323,-1.0622081906780125,0.5019635502727019,0.6677496769682731
81,79,13.444147187148392,42.50098258859934,665.5554,222.57507319737527,-1.0755511231246735,0.5019635502727019,0.6677496769682731
81,80,13.450216149353531,42.50106483616968,445.5017,224.0166561677102,-1.0904254197130734,0.5019635502727019,0.6677496769682731
81,81,13.456285136924512,42.50114676249154,476.2586,225.45173328147683,-1.1067160658818285,0.5019635502727019,0.6677496769682731
81,82,13.4623541497622,42.50122836756108,465.4034,226.87856230168103,-1.1243046702928612,0.5019635502727019,0.6677496769682731
