network_code,station_code,Longitude,Latitude,vs30,epiazimuth,mu_logIM,tau_logIM,phi_logIM,obs_logIM
BA,SANL,16.271763,40.25275,443.0,353.14274069700326,-6.29002366992491,0.5019635502727019,0.6677496769682731,-5.798706564181098
BA,TTS,15.723605,40.601345,175.0,354.26748053997244,-5.7241076561040405,0.5019635502727019,0.6677496769682731,-5.6722500988302285
IT,ANT,13.078598,42.41811,912.0,149.814260426143,-2.1853331149949358,0.5019635502727019,0.6677496769682731,-2.9270117545891026
IT,AQA,13.339298,42.37553,549.0,166.59604466303443,-0.5650726957669658,0.5019635502727019,0.6677496769682731,-0.2971945782636436
IT,AQG,13.337026,42.373474,696.0,164.83974581017054,-0.5650726957669658,0.5019635502727019,0.6677496769682731,-0.1140869537324262
IT,AQK,13.400949,42.344967,705.0,171.39486146637336,-0.5650726957669658,0.5019635502727019,0.6677496769682731,-0.4779772045182479
IT,AQV,13.343888,42.377222,474.0,168.8832062074697,-0.5650726957669658,0.5019635502727019,0.6677496769682731,0.0553070035905766
IT,ASS,12.604141,43.074982,389.8,181.16029326629382,-3.825008912020447,0.5019635502727019,0.6677496769682731,-4.167545766402167
IT,AVL,14.787044,40.922832,431.0,3.634049643761955,-4.954431794582023,0.5019635502727019,0.6677496769682731,-6.481464994834084
IT,AVZ,13.425929,42.027458,199.0,40.950458736251136,-1.7550967212736501,0.5019635502727019,0.6677496769682731,-1.8737967160205888
IT,BBN,11.821428,43.747646,1000.0,180.8700920118381,-5.566060113502604,0.5019635502727019,0.6677496769682731,-6.805917196576218
IT,BDT,12.188036,43.706772,593.0,186.9933221476515,-4.859182699378739,0.5019635502727019,0.6677496769682731,-5.387646976581332
IT,BNE,14.784882,41.127556,409.0,359.3369152027061,-4.746968355672281,0.5019635502727019,0.6677496769682731,-6.097746365193324
IT,BOJ,14.472103,41.484451,306.0,356.9316841630249,-4.026313712307593,0.5019635502727019,0.6677496769682731,-3.901813320753063
IT,CAN,15.475419,41.203197,381.0,345.5877835445107,-5.146343524666238,0.5019635502727019,0.6677496769682731,-5.922926269097664
IT,CDS,14.11187,41.78714,661.6664428710938,356.5079660881664,-3.351684157160594,0.5019635502727019,0.6677496769682731,-3.678252376628917
IT,CER,15.9102,41.2595,396.0,339.05679655778886,-5.421450060104649,0.5019635502727019,0.6677496769682731,-5.778671689639228
IT,CHT,14.147809,42.369827,445.8577270507813,304.7302434129423,-2.830583184467169,0.5019635502727019,0.6677496769682731,-2.8005214351743803
IT,CLN,13.520722,42.085224,578.5687866210938,24.68396007372405,-1.5264795260755752,0.5019635502727019,0.6677496769682731,-1.790207565828393
IT,CMB,14.6523,41.5628,711.59,349.52850681575285,-4.186623575933311,0.5019635502727019,0.6677496769682731,-5.73598652632804
IT,CMR,14.712029,41.833427,621.85,336.8280194768678,-3.9891111870497604,0.5019635502727019,0.6677496769682731,-4.409403199926795
