x,y,rec_logPGA,mean_logPGA_1,q05_logPGA_1,q95_logPGA_1,mean_logPGA_2,q05_logPGA_2,q95_logPGA_2
-18.47695390781563,0,-2.620591539514155,-2.5835058280152916,-3.578421883361813,-1.58858977266877,-2.661867845365364,-3.2445237949908963,-2.1133046637678046
-18.39679358717435,0,-2.77364768915316,-2.5830555116211134,-3.572833146309707,-1.5932778769325195,-2.6218909159285606,-3.1991810162896264,-2.0716127877853423
-18.316633266533067,0,-2.919473628726808,-2.5826954243852462,-3.567124417900205,-1.5982664308702876,-2.5766624149745407,-3.1476195595422074,-2.0234886868223723
-18.236472945891784,0,-2.966330890091882,-2.5824277843354966,-3.5612873535674052,-1.603568215103588,-2.5271263530981254,-3.098471377725371,-1.9765905515671307
-18.1563126252505,0,-3.2397715234929354,-2.582254858673501,-3.5553129787663798,-1.6091967385806223,-2.5278597639214415,-3.071341288797107,-1.9882427237625517
-18.07615230460922,0,-3.1478248532373256,-2.5821789648454097,-3.549191631786405,-1.6151662979044143,-2.5281243374931734,-3.067954535704739,-2.009228665703614
-17.995991983967937,0,-2.906553736050872,-2.5822024716358323,-3.542912899903478,-1.6214920433681868,-2.5187872646389633,-3.0716886731648927,-1.9821287809310664
-17.915831663326653,0,-2.9241049372065437,-2.582327800285496,-3.5364655478838847,-1.628190052687107,-2.5069049762397526,-3.0601096297525237,-1.9731360677162508
-17.83567134268537,0,-2.9616905054008003,-2.5825574256331842,-3.5298374376700288,-1.63527741359634,-2.4889674914908997,-3.0446231726987745,-1.9632431402437238
-17.75551102204409,0,-2.9126499342205907,-2.582893877282444,-3.52301543785938,-1.6427723167055077,-2.468852195213156,-3.023115939096745,-1.9361880001120186
-17.675350701402806,0,-2.9833325966115463,-2.5833397407936234,-3.5159853213175634,-1.6506941602696832,-2.4424117157903558,-2.994956124905698,-1.9217597698161468
-17.595190380761522,0,-3.0111979581629966,-2.583897658901786,-3.508731648933697,-1.6590636688698748,-2.410682470836721,-2.9580661014253726,-1.9072275055928325
-17.51503006012024,0,-2.779901548655133,-2.584570332761052,-3.5012376371131793,-1.6679030284089245,-2.3732716814316426,-2.9224975708681464,-1.8660413696814657
-17.43486973947896,0,-2.9129295959803385,-2.5853605232159547,-3.4934850060874147,-1.6772360403444946,-2.3264643835439363,-2.873060707838322,-1.8096102668816165
-17.354709418837675,0,-2.825176048477454,-2.5862710521003947,-3.4854538054713196,-1.68708829872947,-2.27367035155421,-2.835762027285781,-1.7656830269022488
-17.274549098196392,0,-2.662744188797725,-2.587304803564791,-3.477122212677579,-1.6974873944520033,-2.30553872940137,-2.839735841996368,-1.7924103675574734
-17.194388777555112,0,-2.7067345345765115,-2.5884647254320408,-3.468466298746832,-1.7084631521172498,-2.328194386786562,-2.858033852742625,-1.828402899722516
-17.11422845691383,0,-2.676972968550274,-2.589753830582918,-3.459459754800647,-1.7200479063651888,-2.341207562542675,-2.872142607462561,-1.8285598713767086
-17.034068136272545,0,-2.273171151651016,-2.591175198371549,-3.4500735705661407,-1.7322768261769579,-2.3490294642700027,-2.8699438679967524,-1.8366363230870266
-16.95390781563126,0,-2.157380036449597,-2.5927319760716228,-3.4402756541130883,-1.7451882980301572,-2.347577343771828,-2.8697283355593024,-1.854267583209423
-16.87374749498998,0,-2.172397847553936,-2.594427380353986,-3.4300303788823365,-1.7588243818256357,-2.3409192584090865,-2.8709335901352206,-1.8329860903016086
-16.793587174348698,0,-2.1353235674065605,-2.5962646987963414,-3.4192980399750765,-1.7732313576176062,-2.3256003968025585,-2.8512184872416615,-1.8264627568167136
-16.713426853707414,0,-2.1674160243840683,-2.5982472914257113,-3.408034196089472,-1.7884603867619506,-2.3079158411542977,-2.8334734438012457,-1.7947702756888435
-16.633266533066134,0,-2.19113327052805,-2.6003785922944003,-3.396188865802947,-1.8045683187858534,-2.279165584810462,-2.792674462386018,-1.7657696779552166
-16.55310621242485,0,-2.292853102958011,-2.602662111090173,-3.3837055361548107,-1.8216186860255354,-2.2407208238356717,-2.7588722311965594,-1.7429754249310159
-16.472945891783567,0,-2.1830299522617462,-2.6051014347814125,-3.370519926227004,-1.8396829433358213,-2.1940199621304224,-2.7058601029952682,-1.7128955361754588
-16.392785571142284,0,-2.102066977267365,-2.6077002292979863,-3.3565584263669797,-1.858842032228993,-2.1903453685603895,-2.7146806493556723,-1.7142407768312895
-16.312625250501004,0,-2.1691989648579395,-2.610462241248631,-3.341736101186764,-1.879188381310498,-2.224639891985771,-2.737443505908652,-1.7524219087264699
-16.23246492985972,0,-2.2653638726022627,-2.6133912996756377,-3.3259540954893207,-1.9008285038619546,-2.2507649452624787,-2.753408032043932,-1.786366728923594
-16.152304609218437,0,-2.32373467873936,-2.6164913178476286,-3.3090962066416565,-1.9238864290536006,-2.3134286725081012,-2.797319404864168,-1.8357049327081443
